分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
人文社科,余英時評政治現實（限量珍藏印章版）,https://www.books.com.tw/img/001/092/31/0010923121.jpg,余英時,印刻,2022/05/04,優惠價：79折 356元,"他有深刻的中國情懷，
卻最反感「二十一世紀是中國人的世紀」一語。
不管大國如何崛起，始終堅守立場，
終其一生都是中共當局最忌憚的如椽巨筆。
 
余英時的政論，一大特色...more",https://www.books.com.tw/products/0010923121?loc=P_0005_001,"['矢板明夫在台灣「說三道四」', '漢文與東亞世界：從東亞視角重新認識漢字文化圈', '余英時訪問記', '余英時談話錄', '失控的轟炸：人道與人性的交戰，造就二戰最漫長的一夜 (含8頁珍貴歷史圖片)', '《時代革命》電影訪談錄', '孟買春秋：史密斯夫婦樂活印度', '偽魚販指南', '毛澤東：鮮為人知的故事(修訂版)', '變化中的世界秩序：橋水基金應對國家興衰的原則', '逆天抗命： 香港如何對世界上最大的獨裁者說不', '余英時回憶錄(平裝版)', '戈巴契夫冷戰回憶錄：蜕變中的世界，從舊冷戰到新世紀的危機', '雪佛【首刷限量作者簽名版】：年度散文獎得主王盛弘散文書寫再創新格局作品', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '狐狸讀書：董啟章隨筆集一', '在台北生存的一百個理由(五版)(大塊文化25週年增修紀念版)(五位作者豪華親簽版)', '受苦與反抗：陳健民.獄中書簡', '歷史與思想(二版)', '螺絲愈來愈鬆：從政客、名流和小人物，記錄當代美國走向內在瓦解與重建的心靈史']"
人文社科,矢板明夫在台灣「說三道四」,https://www.books.com.tw/img/001/092/28/0010922888.jpg,八旗文化,more,2022/05/05,優惠價：79折 300元,"「我只能說：矢板先生的見解一針見血，真的醍醐灌頂！」
◆
一個日本媒體人為何可以對台灣議題說三道四？
結合中日台三地經驗的獨家「矢板視角」，
再再顛覆台灣人的三觀！
◆
中國問題專家！...more",https://www.books.com.tw/products/0010922888?loc=P_0005_002,"['孟買春秋：史密斯夫婦樂活印度', '余英時評政治現實(限量珍藏印章版)', '曾經以為中國最幸福', '阿共打來怎麼辦：你以為知道但實際一無所知的台海軍事常識', '人民解放軍的真相：中共200萬私軍的威脅、腐敗與野心', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '吃的台灣史：荷蘭傳教士的麵包、清人的鮭魚罐頭、日治的牛肉吃法，尋找台灣的飲食文化史', '逆轉的文明史：美索不達米亞 古老的人類文明曙光如何熄滅，墮落成今天伊拉克窪地?', '偽魚販指南', '中國陌路：來自中國境內最後一位澳洲通訊記者的內幕報導', '國父的真相：建立美國政治典範的元勳，還原他們神壇下的真實面貌', '變化中的世界秩序：橋水基金應對國家興衰的原則', '失控的轟炸：人道與人性的交戰，造就二戰最漫長的一夜 (含8頁珍貴歷史圖片)', '借殼上市：蔣介石與中華民國臺灣的形塑', '一山一故事：科技人的歷史旅記', '世界史是化學寫成的：從玻璃到手機，從肥料到炸藥，保證有趣的化學入門', '海獅說歐洲王室羅曼死【限量親簽香氛扉頁+「王子公主的有事人生」透明貼紙】', '出賣中國：中國官場貪腐分析報告(全新修訂版)', '社會事─權勢者的勝利手冊：台灣地方政治史的50個關鍵字', '斷食善終——送母遠行，學習面對死亡的生命課題']"
人文社科,拜、請：信仰與文化的綻放,https://www.books.com.tw/img/001/092/52/0010925266.jpg,洪振傑,開學文化,2022/06/01,優惠價：79折 371元,"拜、請。不僅是請神明的降臨賜福。
我們敬拜、甚至迎請神明入厝供奉，那份虔誠與信念，就如同生活般的自然。
人會老去，而歷史文化與包含著思念記憶的香火將永傳。
 
六十年前...more",https://www.books.com.tw/products/0010925266?loc=P_0005_003,"['粧佛唐興閣黃德勝', '田口護談待客之道：巴哈咖啡館深得人心的服務思惟與店面經營', '圖解台灣陣頭：宋江系統武陣', '火來了，快跑', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '圖解台灣行業神明圖鑑：台南體傳統工藝']"
人文社科,看得見的臺灣史．空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】,https://www.books.com.tw/img/001/092/53/0010925318.jpg,"蘇峯楠,石文誠,張安理,鄭勤思,陳怡宏,李文媛,莊梓忻,莊竣雅,謝燕蓉,曾婉琳,曾明德",聯經出版公司,2022/06/02,優惠價：79折 387元,"《看得見的臺灣史：空間、時間、人間》
首部曲
 
橫跨500年、30幅珍貴全彩地圖
以全新角度認識臺灣歷史的面貌
國立臺灣歷史博物館收藏與研究之集大成
完整呈現博物館歷史學的新高度
 
...more",https://www.books.com.tw/products/0010925318?loc=P_0005_004,"['福爾摩沙時尚圖鑑：大襟衫、馬面裙、三把頭、剪鉸眉、燈籠褲、瑪莉珍鞋……三百年的台灣潮服誌', '不開刀不吃藥 簡單6招，膝蓋自然不痛了!：電視節目邀約不斷!日本膝關節博士的神奇自癒療法', '菊元百貨：漫步臺北島都', '【雄獅】奶油獅12色印章彩色筆', '絲路上的帝國：歐亞大陸的心臟地帶，引領世界文明發展的中亞史', '朝鮮半島現代史：一個追尋驕陽的國度', '馴果記：從諸神的花園、人間的天堂、大眾的果物到現代超市蔬果區，果園改造土地、誘發哲思、觸動感官的千萬年故事', '重探抗戰史(第一、二卷雙冊套書)【博客來獨家：主編郭岱君限量親簽版】', '【MUJI 無印良品】補充用透明袋/A5.20孔.10入', '[MUJI無印良品]自由換芯膠墨筆芯/黑0.5mm', '他們說我是間諜：人類學家與她的祕密警察監控檔案', '[MUJI無印良品]自由組合活頁筆記本內頁/20孔.A5. 月記事', '[MUJI無印良品]聚丙烯檔案夾/A5.20孔(R)', '[MUJI無印良品]自由組合活頁筆記本內頁/20孔.A5. 空白', '[MUJI無印良品]自由組合活頁筆記本內頁/20孔.A5. 2mm方格', '[MUJI無印良品]自由組合活頁筆記本內頁/20孔.A5. 記帳表', '偽魚販指南', '台語現代小說選', '瞄過一眼就忘不了的世界史【商業篇】：SUPER高中老師講故事，讓「金錢流通」當主角，不背年份就能貫通世界史!', '博物日本：本草學與江戶日本的自然觀']"
人文社科,海獅說歐洲王室羅曼死【限量親簽香氛扉頁+「王子公主的有事人生」透明貼紙】,https://www.books.com.tw/img/001/092/49/0010924922.jpg,神奇海獅,究竟,2022/06/01,優惠價：79折 269元,"◎歐洲王室唯一指定兄弟．神奇海獅的限量好禮！
〔限量一〕萬中選一歷史名言＋作者親簽＋復刻中世紀「愛情靈藥」香氛扉頁
根據歐洲中世紀傳說配方，復刻「愛情靈藥」香氛，
浸染印有歷...more",https://www.books.com.tw/products/0010924922?loc=P_0005_005,"['海獅說歐洲趣史：歷史課本一句話，背後其實很有事', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '按下暫停鍵也沒關係：在憂鬱症中掙扎了一年，我學到的事', '不能只有我看到!臺灣史上的小人物大有事', '【荷蘭史翠普】焦糖煎餅250g', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '歡迎光臨夢境百貨2：找回不再做夢的人', '矢板明夫在台灣「說三道四」', '厭世廢文觀止：英雄豪傑競靠腰，國文課本沒有教', '原子習慣：細微改變帶來巨大成就的實證法則', '奇怪的歷史知識增加了!不能只有我知道的趣味歐洲史', '我是留德華：海獅的德國奇幻旅程', '海幻 (限量作者親簽版)', '全方位理財的第一堂課：你一生必學的五大財務規畫', '文山手作皂─淨身艾草_洗滌身心 淨身除穢(所有膚質適用)', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '你不能再死一次【博客來獨家親簽版】', '瞄過一眼就忘不了的世界史【商業篇】：SUPER高中老師講故事，讓「金錢流通」當主角，不背年份就能貫通世界史!', '數據的假象：數據識讀是深度偽造時代最重要的思辨素養，聰明決策不被操弄', '達標：芝大商學院教授親授，意想不到的激勵課']"
人文社科,20世紀的主義們：自由主義．社會主義．共產主義．法西斯主義．民粹主義．多元文化主義（牛津非常短講）,https://www.books.com.tw/img/001/092/58/0010925815.jpg,"麥可．弗里登,麥可．紐曼,萊斯利．荷姆斯,凱文．帕斯莫,卡斯．穆德,克里斯托巴．卡特瓦塞爾,阿里．拉坦希",左岸文化,2022/06/01,優惠價：75折 1575元,"「民粹主義」到底是在幹什麼，總是被拿來罵人？
「自由主義」對民主政治有益無害？
「社會主義」還有市場嗎？
「共產主義」已經走不下去了嗎？
「法西斯主義」會不會捲土重來？
「多元文化主...more",https://www.books.com.tw/products/0010925815?loc=P_0005_006,"['少年', '國父的真相：建立美國政治典範的元勳，還原他們神壇下的真實面貌', '他們說我是間諜：人類學家與她的祕密警察監控檔案', '形狀：資訊、生物、策略、民主和所有事物背後隱藏的幾何學', '遊戲人生72變：線上‧實體遊戲教學一本通 (電子書)', '逆轉的文明史：美索不達米亞 古老的人類文明曙光如何熄滅，墮落成今天伊拉克窪地?', '海獅說歐洲王室羅曼死【限量親簽香氛扉頁+「王子公主的有事人生」透明貼紙】', '理解階級：二十一世紀階級論', '余英時評政治現實(限量珍藏印章版)', '香港_何去何從', '放歌(作者親簽版)', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '朝鮮半島現代史：一個追尋驕陽的國度', '香港甚好的片刻︰加山傳播專訪合輯', '天防者III：超感者', '現代菲律賓政治的起源(限量簽名版)：從殖民統治到強人杜特蒂，群島國追求獨立、發展與民主的艱難路', '帝國如何改變世界：從十三個帝國的崛起與衰落，看帝國主義與殖民如何形塑今日全球文明與政治的樣貌', '台語現代小說選', '西北雨(作者親簽珍藏版)(二版)', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)']"
人文社科,福爾摩沙時尚圖鑑：大襟衫、馬面裙、三把頭、剪鉸眉、燈籠褲、瑪莉珍鞋……三百年的台灣潮服誌【獨家特贈穿越福爾摩沙吸水杯墊組（乙組三個）】,https://www.books.com.tw/img/001/092/48/0010924857.jpg,台灣服飾誌,聯經出版公司,2022/05/26,優惠價：79折 387元,"★★★隨書附贈「穿越福爾摩沙吸水杯墊組」（乙組三個）★★★
 
大航海時代的荷蘭官員穿燈籠褲？鄭成功平常上班要穿龍袍嗎？日治時代的台灣女性會穿和服嗎？傳統客家女性的禮服也有南北之分？支那風情...more",https://www.books.com.tw/products/0010924857?loc=P_0005_007,"['看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '平安鈔經組合《心經》4本組合', '尼爾：幸田和磨美術集', '科學家(上下冊盒裝附贈精美序文海報)', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '平安鈔經組合〈藥師咒〉', '最有梗的人體教室：針筒兄弟與他們的器官小夥伴', '絲路上的帝國：歐亞大陸的心臟地帶，引領世界文明發展的中亞史', '妖怪臺灣：三百年島嶼奇幻誌‧妖鬼神遊卷', '【LIFE】MARGIN 筆記本 (直式翻開) A4 無地(空白)', 'LIFE MARGIN B5筆記本80入 橫格', '世界的鄉土甜點：嚴選多國在地特色甜點食譜，在家就能輕鬆原味重現!', 'LIFE MARGIN B5筆記本80入 方眼', '女僕的祕密生活：黑衣、圍裙、白緞帶，揭開英國上流底層的隱藏真相', '不動怒，與亞斯伯格症孩子親近溝通', 'Can Cam(2022.07)特別版：Stray Kids', '櫻桃小丸子─皮革書包icash2.0', '腓尼基神話：影響希臘與羅馬神話，地中海紫紅之國的神祕傳說【世界神話系列7】', '台灣地圖', '陳珊妮 / 調教']"
人文社科,律師也有良心，怎麼了嗎？：卡債不用全還、車禍對方錯了還是可以告你、獲得遺產竟被告侵占……36個需要律師的煩心事，讓暗黑律師法老王為你解惑！,https://www.books.com.tw/img/001/092/23/0010922380.jpg,法老王律師,時報出版,2022/05/03,優惠價：79折 277元,"八卦板卡債爆文×線上社群解答熱門時事法律點×各大網路媒體注目轉載
 
欠債、車禍、家事，
是人生難免會遇到最需要律師的3大難題。
來吧！看法老王走進當事人的糾結人生裡，
...more",https://www.books.com.tw/products/0010922380?loc=P_0005_008,"['底層邏輯：看清這個世界的底牌', '你知道的太多了：欠錢可以不還、年金可以不繳、法庭可以喊價、和解可以再告、借名可以侵占、勞保可以害人──這是什麼荒謬劇?!不~這是我們的法律!', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '法律歸法律?：熱門新聞話題中的法律爭議，我也是看法白才知道!', '偽魚販指南', '變化中的世界秩序：橋水基金應對國家興衰的原則', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '45歲退休，你準備好了? (十周年全新增訂版)', '[益生堂] 仙楂粒', '刑事訴訟Q&A', '新手種花100問【暢銷修訂版】：資深專家40年經驗，種植疑難雜症全圖解', '輕鬆當爸媽，孩子更健康：超人氣小兒科醫師黃瑽寧教你安心育兒【暢銷增訂版】', '原子習慣：細微改變帶來巨大成就的實證法則', '小心，原來這樣也有事!：腦洞大律師雷丘的生活法律常識與對策', '科學麵─ 原味(5包/袋)', '你的愛情就像你自己：SBS常駐心理師，集15年諮商經驗，找到愛的解答', '失控的轟炸：人道與人性的交戰，造就二戰最漫長的一夜 (含8頁珍貴歷史圖片)', '如何改變一個人：華頓商學院教你消除抗拒心理，從心擁抱改變', '上法院這檔事：生活法律系列(一品)', '王牌律師說故事，你一定要知道的50個生活法律問題(3版)']"
人文社科,失控的轟炸：人道與人性的交戰，造就二戰最漫長的一夜 （含8頁珍貴歷史圖片）,https://www.books.com.tw/img/001/092/16/0010921604.jpg,麥爾坎．葛拉威爾,時報出版,2022/04/26,優惠價：79折 332元,"★《紐約時報》、亞馬遜Top1暢銷書
★iHeartRadio最佳歷史類podcast改編成書
★《紐約時報》編輯選書：本書唯一的缺點，就是它的篇幅不是兩倍長。
★21世紀的彼得．杜拉克暨《時代》百大影...more",https://www.books.com.tw/products/0010921604?loc=P_0005_009,"['以小勝大：弱者如何找到優勢，反敗為勝?(暢銷慶功版)', '余英時評政治現實(限量珍藏印章版)', '解密陌生人：顛覆識人慣性，看穿表相下的真實人性。', '決斷2秒間：擷取關鍵資訊，發揮不假思索的力量(暢銷慶功版)', '異數：超凡與平凡的界線在哪裡? (暢銷慶功版)', '變化中的世界秩序：橋水基金應對國家興衰的原則', '引爆趨勢：小改變如何引發大流行(全球暢銷20週年典藏精裝版)', '以小勝大：弱者如何找到優勢，反敗為勝?〔典藏紀念版〕', '血色大地：夾在希特勒與史達林之間的東歐', '帝國的野心：十九世紀英俄帝國中亞大競逐', '為什麼有些國家愈救愈窮?【揭露全球不平等的暗黑內幕&解方】', '絲路上的帝國：歐亞大陸的心臟地帶，引領世界文明發展的中亞史', '積極防禦：從國際情勢、內部鬥爭，解讀1949年以來中國軍事戰略的變與不變', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '戈巴契夫冷戰回憶錄：蜕變中的世界，從舊冷戰到新世紀的危機', '大開眼界：葛拉威爾的奇想〔典藏紀念版〕', '神的方程式：對萬有理論的追尋', '民國軍閥檔案，重建中', '1951全面追緝：軍購.密帳.叛逃者', '槍炮、病菌與鋼鐵：人類社會的命運‧25週年暢銷紀念版']"
人文社科,漢文與東亞世界：從東亞視角重新認識漢字文化圈,https://www.books.com.tw/img/001/092/29/0010922917.jpg,金文京,衛城出版,2022/05/05,優惠價：79折 316元,"‧為什麼說不同語言的人，在古代可以用同樣的文言文筆談？
‧日本人、韓國人都能直接用自己的語言，唸出《論語》的內容？
‧「訓讀」到底是什麼？
‧中國翻譯佛經竟影響了日本跟朝鮮半島的...more",https://www.books.com.tw/products/0010922917?loc=P_0005_010,"['余英時評政治現實(限量珍藏印章版)', '絲路上的帝國：歐亞大陸的心臟地帶，引領世界文明發展的中亞史', '帝國的野心：十九世紀英俄帝國中亞大競逐', '三菱UMR─1替芯0.38mm深藍', '血色大地：夾在希特勒與史達林之間的東歐', '赤道線的南洋密碼：台灣@馬來半島的跨域文化田野踏查誌', '現代菲律賓政治的起源(限量簽名版)：從殖民統治到強人杜特蒂，群島國追求獨立、發展與民主的艱難路', '版權誰有?翻印必究?：近代中國作者、書商與國家的版權角力戰', '西元一千年：探險家連結世界，全球化於焉展開', '戈巴契夫冷戰回憶錄：蜕變中的世界，從舊冷戰到新世紀的危機', '第一響禮砲： 美國首次獲得外交承認的獨立故事', '為什麼有些國家愈救愈窮?【揭露全球不平等的暗黑內幕&解方】', '內景唐人街', '(3入1包)3M 583─8S非抽取式指示標籤(0.8×4.3公分)', '川島芳子：男裝麗人的時代悲歌(全新修訂版)', '朝貢、海禁、互市：近世東亞五百年的跨國貿易真相', '品饌東亞：食物研究中的權力滋味、醫學食補與知識傳說', '菁英媽媽想上班：美國頂尖名校女性重返職場的特權與矛盾', '叢林：關於地球生命與人類文明的大歷史', '血與土：現代奴隸、生態滅絕，與消費市場的責任']"
人文社科,地方創生×SDGs的實踐指南：孕育人與經濟的生態圈，創造永續經營的地方設計法,https://www.books.com.tw/img/001/092/23/0010922305.jpg,筧裕介,裏路,2022/04/27,優惠價：79折 537元,"SDGs永續發展x地方創生實踐
~全民參與區域發展的時代來了~
讓每個人都能找到生存價值與幸福的
永續生活方式
◆「SDGs」是什麼？
「SustainableDevelopmentGoals」是由聯合國於2015年提出的
...more",https://www.books.com.tw/products/0010922305?loc=P_0005_011,['NaN']
人文社科,絲路上的帝國：歐亞大陸的心臟地帶，引領世界文明發展的中亞史,https://www.books.com.tw/img/001/092/31/0010923143.jpg,白桂思,聯經出版公司,2022/05/05,優惠價：79折 537元,"從青銅時代至今日局勢，理解中亞史重磅經典之作
顛覆游牧民族＝野蠻人的刻板印象
 
中亞的璀璨文明，照亮了整條路上絲綢之路
絲路上帝國的歷史，就是中亞各民族的歷史
 
★榮獲美國出版協會專業...more",https://www.books.com.tw/products/0010923143?loc=P_0005_012,"['帝國的野心：十九世紀英俄帝國中亞大競逐', '漢文與東亞世界：從東亞視角重新認識漢字文化圈', '鏈鋸人 最佳拍檔 全', '這才是以色列：揭露歷史謊言和神話底下的以色列', '戈巴契夫冷戰回憶錄：蜕變中的世界，從舊冷戰到新世紀的危機', '重探抗戰史(第一、二卷雙冊套書)【博客來獨家：主編郭岱君限量親簽版】', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '余英時評政治現實(限量珍藏印章版)', '變化中的世界秩序：橋水基金應對國家興衰的原則', '向加泰隆尼亞致敬(戰後英國文壇五十大作家喬治•歐威爾反極權主義寫作起點，繁體中文譯本首度問市)', '失控的轟炸：人道與人性的交戰，造就二戰最漫長的一夜 (含8頁珍貴歷史圖片)', '血色大地：夾在希特勒與史達林之間的東歐', '十字軍首役：以聖戰為名的權力遊戲，形塑歐洲文明的重要之戰【限量作者簽名版】', '西元一千年：探險家連結世界，全球化於焉展開', '白銀市場爭奪戰：從富蘭克林到巴菲特，點燃全球經濟與關鍵決策的致富貨幣', '現代菲律賓政治的起源(限量簽名版)：從殖民統治到強人杜特蒂，群島國追求獨立、發展與民主的艱難路', '超強大腦學習套書：大腦喜歡這樣學(二版)+學習如何學習(博客來獨家)', '第一響禮砲： 美國首次獲得外交承認的獨立故事', '歷史的轉換期7：1683年.近世世界的變貌', '村家味：從兩株蘆薈到行銷國際的三代女力傳奇']"
人文社科,法律歸法律？：熱門新聞話題中的法律爭議，我也是看法白才知道！,https://www.books.com.tw/img/001/092/48/0010924848.jpg,法律白話文運動,時報出版,2022/05/31,優惠價：79折 332元,"把名字改成鮭魚可以後悔嗎？
製作Deepfake不雅影片，觸犯了哪些罪行？
法律連子宮都要管，會不會太毋通？
台灣至今竟然還存在著酷刑？
 
看懂新聞爭議，透視人情義理
提升...more",https://www.books.com.tw/products/0010924848?loc=P_0005_013,"['What The 法：法律誰說了算? 若你是法官， 你會怎麼判?', '律師也有良心，怎麼了嗎?：卡債不用全還、車禍對方錯了還是可以告你、獲得遺產竟被告侵占……36個需要律師的煩心事，讓暗黑律師法老王為你解惑!', '江湖在走，法律要懂：法律白話文小學堂', '知識複利：將內容變現，打造專家型個人品牌的策略', '憲政熱映中：中華民國憲法的怪誕與進化', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '跨PRAY', '你知道的太多了：欠錢可以不還、年金可以不繳、法庭可以喊價、和解可以再告、借名可以侵占、勞保可以害人──這是什麼荒謬劇?!不~這是我們的法律!', '逆轉人生的英語課：Netflix、Disney+翻譯官的英語學習術，讓你的英文跳躍式大進步', '寫給公民的40堂思辨課：人氣知識平台「公民不下課」，寫給現代台灣人的公民議題讀本!從世界到日常，這些事情，你真的應該要知道!', '矢板明夫在台灣「說三道四」', '有情人間：不遺忘的溫柔書寫', '[MUJI無印良品]壓邊化妝棉/189入', '召喚法力：法律白話文小學堂', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '精準提問：找到問題解方，培養創意思維、發揮專業影響力的16個提問心法', '底層邏輯：看清這個世界的底牌', '實務必考熱區 民總、債法(2版)', '日本人的心態', '世界鐵道大探索1 世界的蒸汽火車：200年火車分類學 300輛蒸汽機車全圖鑑(附贈蒸汽火車構造海報)']"
人文社科,重探抗戰史（第一、二卷雙冊套書）【博客來獨家：主編郭岱君限量親簽版】,https://www.books.com.tw/img/001/092/48/0010924858.jpg,郭岱君,聯經出版公司,2022/05/26,優惠價：79折 1051元,"★套書【第二卷】附主編郭岱君親筆簽名，限量典藏★
我們從未理解的關鍵歷史
一場史無前例、改變百年世界走向的戰爭。
集合多國現代史學者，重新檢視影響深遠的中日戰爭！
重探一個民族的命運，看近百...more",https://www.books.com.tw/products/0010924858?loc=P_0005_014,"['絲路上的帝國：歐亞大陸的心臟地帶，引領世界文明發展的中亞史', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '【星巴克】濾掛咖啡─派克市場烘焙咖啡(4入/盒) 派克市場', '帝國的野心：十九世紀英俄帝國中亞大競逐', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '我有結婚病【限量親簽版】', '變化中的世界秩序：橋水基金應對國家興衰的原則', '(3包1套)哈哈防滑環保書套 230', '台灣新詩史【獨家限量雙作者親簽版】', '(3包1套)哈哈防滑環保書套 210', '一周七天，晴天雨天【獨家首刷限量作者親簽版+手寫傳情卡】：寫給每一個為生活努力的你', '黑潮：從關鍵的一九七九年，剖析中東文化、宗教、集體記憶的四十年難解對立', '日本人的心態', '歷史的轉換期8：1789年.追求自由的時代', '血色大地：夾在希特勒與史達林之間的東歐', '逆向童謠', '20世紀的主義們：自由主義.社會主義.共產主義.法西斯主義.民粹主義.多元文化主義(牛津非常短講)', '漢文與東亞世界：從東亞視角重新認識漢字文化圈', '[MUJI 無印良品]一口可可夾心酥/香草奶油風味/110g', '我走過的路：余英時訪談錄(增訂新版)']"
人文社科,福爾摩沙時尚圖鑑：大襟衫、馬面裙、三把頭、剪鉸眉、燈籠褲、瑪莉珍鞋……三百年的台灣潮服誌,https://www.books.com.tw/img/001/092/48/0010924855.jpg,台灣服飾誌,聯經出版公司,2022/05/26,優惠價：79折 387元,大航海時代的荷蘭官員穿燈籠褲？鄭成功平常上班要穿龍袍嗎？日治時代的台灣女性會穿和服嗎？傳統客家女性的禮服也有南北之分？支那風情的長衫原來就是旗袍？台灣中學生也愛帥氣的立領校服和俏麗的水...more,https://www.books.com.tw/products/0010924855?loc=P_0005_015,"['看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '菊元百貨：漫步臺北島都', '不准畫太好：人氣YouTuber的4大繪圖障礙破解術', '【午茶夫人】康福茶─10入/袋', '韓國名師的光與顏色繪畫指導課', '[MUJI無印良品]自由換芯附蓋膠墨筆/藍0.38mm', '替補的王牌', '台灣建築史綱', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '博物館策展人工作指南：認識、管理與展示物件', '[MUJI 無印良品]PP抽屜整理盒(4)/133×200×40mm', '騎鵝歷險記(珍藏版：五十多幅絕美彩色插畫，附尼爾斯旅行地圖)', 'SPY×FAMILY 間諜家家酒 5', '我家的貓又在幹怪事了。(05)', 'SPY×FAMILY 間諜家家酒 4', 'SPY×FAMILY 間諜家家酒 3', '【日本mt和紙膠帶】REMAKE SHEET 裝飾貼片. SOU SOU 綻放', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第五部】女神的化身III', '算×命：歐洲與臺灣的占卜特展展覽專刊', '【統一生機】蜜棗乾(袋) 250g/袋']"
人文社科,戈巴契夫冷戰回憶錄：蜕變中的世界，從舊冷戰到新世紀的危機,https://www.books.com.tw/img/001/092/19/0010921936.jpg,米哈伊爾．謝爾蓋耶維．戈巴契夫,好優文化,2022/05/06,優惠價：79折 379元,"－中文版全球首發－
戈巴契夫冷戰回憶錄中文版
關於冷戰，我們聽西方敘述太久了。
現在這個時代，
我們該聽聽另一個方向，關於冷戰的另一種詮釋。
◎舊蘇聯終結者、冷戰中終結者、又或是，新世代的開...more",https://www.books.com.tw/products/0010921936?loc=P_0005_016,"['余英時評政治現實(限量珍藏印章版)', '絲路上的帝國：歐亞大陸的心臟地帶，引領世界文明發展的中亞史', '漢文與東亞世界：從東亞視角重新認識漢字文化圈', '變化中的世界秩序：橋水基金應對國家興衰的原則', '逆天抗命： 香港如何對世界上最大的獨裁者說不', '現代菲律賓政治的起源(限量簽名版)：從殖民統治到強人杜特蒂，群島國追求獨立、發展與民主的艱難路', '血色大地：夾在希特勒與史達林之間的東歐', '失控的轟炸：人道與人性的交戰，造就二戰最漫長的一夜 (含8頁珍貴歷史圖片)', '意外的和平：雷根、戈巴契夫等「四巨頭」，如何攜手結束半世紀的冷戰對峙?', '一個操盤手的虧損自白：長銷30年的獲利經典', '越南啟示錄1945─1975：美國的夢魘、亞洲的悲劇(上、下冊不分售)', '葉爾欽革命手記', '中國陌路：來自中國境內最後一位澳洲通訊記者的內幕報導', '焚書：遭到攻擊與在烈焰中倖存的知識受難史', '向加泰隆尼亞致敬(戰後英國文壇五十大作家喬治•歐威爾反極權主義寫作起點，繁體中文譯本首度問市)', '積極防禦：從國際情勢、內部鬥爭，解讀1949年以來中國軍事戰略的變與不變', '底層邏輯：看清這個世界的底牌', '帝國的野心：十九世紀英俄帝國中亞大競逐', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '為什麼有些國家愈救愈窮?【揭露全球不平等的暗黑內幕&解方】']"
