分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
商業理財,讓別人贏：在人生多重角色中，55個修煉與覺察的智慧,https://www.books.com.tw/img/001/092/36/0010923663.jpg,黃冠華Sunny Huang,商業周刊,2022/05/12,優惠價：79折 300元,"——唯有真心利他、才能真正回饋自己——
斜槓企業家、《商業周刊》專欄作家黃冠華
從企業經營到人生哲理，給你不一樣的思考解方
西方人玩撲克，好比以拳頭大小決勝負;
亞洲人打麻將，本質是「...more",https://www.books.com.tw/products/0010923663?loc=P_0005_001,"['變化中的世界秩序：橋水基金應對國家興衰的原則', '奇異衰敗學：百年企業為何從頂峰到解體?', '高彈性成長法則：每一次的改變，都是成長的機會!彈性的力量帶你越變越好', '底層邏輯：看清這個世界的底牌', 'OGSM變革領導：打造企業創新力，建立靈活、隨時擴充的全公司溝通系統工具', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', 'CEO徹夜未眠真心話：我如何在困難中摸索、思考、突破的內心告白', '全方位理財的第一堂課：你一生必學的五大財務規畫', '窮查理的普通常識(增修版)：巴菲特50年智慧合夥人查理.蒙格的人生哲學', '療癒的飲食與斷食：新時代的個人營養學', '精準訂價：在商戰中跳脫競爭的獲利策略', '別做熱愛的事，要做真實的自己：一本重新思考人生與工作的改變之書', '中國紫砂', '知識複利：將內容變現，打造專家型個人品牌的策略', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '剛剛好的優雅：志玲姊姊修養之道', '投資最重要的事：一本股神巴菲特讀了兩遍的書', '2030永續企業革命：全方位ESG永續實戰攻略']"
商業理財,全方位理財的第一堂課：你一生必學的五大財務規畫,https://www.books.com.tw/img/001/092/49/0010924900.jpg,闕又上,先覺,2022/06/01,優惠價：79折 348元,"曾榮獲全美大型基金績效第一名的華爾街操盤手──闕又上
33年投資理財經驗與智慧的精華，讓你一生的理財發揮最大綜效。
 
不懂五大財務領域，你的理財永遠只做了半套！
購買股票、基金...more",https://www.books.com.tw/products/0010924900?loc=P_0005_002,"['A大的理財金律：從零存款開始也能越過越好【1書+1夢想筆記本】', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '有錢人與你的差距，不只是錢', '劉博仁不藏私的功能醫學新王道：吃藥不如吃對營養、過對生活 小毛病不會變成大問題', '知識複利：將內容變現，打造專家型個人品牌的策略', '療癒的飲食與斷食：新時代的個人營養學', '華爾街操盤手給年輕人的15堂理財課', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '變化中的世界秩序：橋水基金應對國家興衰的原則', '底層邏輯：看清這個世界的底牌', '原子習慣：細微改變帶來巨大成就的實證法則', '要瘦就瘦，要健康就健康：把飲食金字塔倒過來吃，就對了!', '隱市致富地圖：60億操盤手用一張圖，找到上漲超過30%的翻轉人生贏勢股', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '為什麼你的退休金只有別人的一半?', '阿甘投資法：不看盤、不選股、不挑買點也能穩穩賺', '慢飆股台積電的啟示錄：發現一流企業的長相和深度投資價值', '達標：芝大商學院教授親授，意想不到的激勵課', '一個操盤手的虧損自白：長銷30年的獲利經典', '45歲退休，你準備好了? (十周年全新增訂版)']"
商業理財,變化中的世界秩序：橋水基金應對國家興衰的原則,https://www.books.com.tw/img/001/092/00/0010920073.jpg,瑞‧達利歐,商業周刊,2022/04/28,優惠價：79折 514元,"★《原則》作者達利歐最新力作，唯一中文完整版！
★在變動世界裡找到不變的「大週期」，
定位現在、推測未來、預作準備
★美中爭霸、誰上誰下？橋水基金用演算法打分數！
算出衝突202...more",https://www.books.com.tw/products/0010920073?loc=P_0005_003,"['原則：生活和工作', '大債危機：橋水基金應對債務危機的原則', '底層邏輯：看清這個世界的底牌', '一個操盤手的虧損自白：長銷30年的獲利經典', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '投資最重要的事：一本股神巴菲特讀了兩遍的書', '奇異衰敗學：百年企業為何從頂峰到解體?', '2030科技趨勢全解讀：元宇宙、AI、區塊鏈、雲端、大數據、5G、物聯網，七大最新科技一本就搞懂!', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '好股票，壞股票：進場前的10大思考題，韓國投資大師告訴你', '隱市致富地圖：60億操盤手用一張圖，找到上漲超過30%的翻轉人生贏勢股', '窮查理的普通常識(增修版)：巴菲特50年智慧合夥人查理.蒙格的人生哲學', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '7大市場力量：商業策略的基礎', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長', '寄生慈善：一個華爾街大騙子如何用「做好事又能致富」的謊言行騙全球菁英?', '風險之書：看人類如何探索、衡量，進而戰勝風險', 'OGSM變革領導：打造企業創新力，建立靈活、隨時擴充的全公司溝通系統工具', '商業模式大全：早稻田商學院教授，圖解63個世界級企業保證獲利模式', '別做熱愛的事，要做真實的自己：一本重新思考人生與工作的改變之書']"
商業理財,女力重生,https://www.books.com.tw/img/001/092/21/0010922140.jpg,李慶隆,今周刊,2022/04/28,優惠價：79折 269元,"台北市永康國際商圈協進會理事長李慶隆，
以朋友、客戶、房地產經紀人、國際商圈理事長以及兒子的獨特視角，
親筆寫下30篇最深刻又動人的女力故事。
 
她們或許墜過深淵、走過...more",https://www.books.com.tw/products/0010922140?loc=P_0005_004,"['讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '[MUJI無印良品]咖啡濾紙', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '也許你該找人聊聊2：心理師教你大膽修訂自己的人生故事!', '女兒是吸收媽媽情緒長大的：獻給世上所有女兒、母親、女性的自我修復心理學', '《將將好》甜媽媽 #5濾水保鮮盒3500ML', '人際關係占星全書：96種日常情境 X 12星座溝通攻略', '【Rhodia】Classic_A5 上掀線圈筆記本_橫線內頁_ 橘色', '美字進化論2：500行書常用字╳500楷書常用字╳2本專利斜十字格習字本，金牌硬筆字大師教你一次學好行書、精進楷書', '練心：李崇建與雨果幼兒園的薩提爾教育實踐', '妳可以乖，但不能不懂男人的壞', '包租公筆記本2', '讀者太太解鎖跨文化婚姻：從兩個人相愛，到兩個世界相融的28個真心建議', '你做得好棒!', '瘦出好體質：一輩子受用的中醫享瘦聖經【全新修訂•健康升級版】', '框架效應：打破自己的認知侷限，看見問題本質，告別慣性偏誤的心理學智慧']"
商業理財,卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家,https://www.books.com.tw/img/001/092/21/0010922143.jpg,申克‧艾倫斯,遠流,2022/04/27,優惠價：79折 315元,"正體中文版率先譯自原著2022年春季內容全面增訂版
收入作者獨家洞見〈魯曼卡片盒一瞥〉最新專文
解說如何將卡片盒使用在筆記軟體上。
★ ★ ★
本書告訴你howtotakesmartnotes.
聰明的筆記不是...more",https://www.books.com.tw/products/0010922143?loc=P_0005_005,"['底層邏輯：看清這個世界的底牌', '變化中的世界秩序：橋水基金應對國家興衰的原則', '知識複利：將內容變現，打造專家型個人品牌的策略', 'Notion人生管理術：從0開始，打造專屬自己的All in One高效數位系統', '過目不忘的文轉圖深化記憶法：跟著世界記憶權威用大腦最節能的學習途徑，讓你的輸出有觀點，學習力、企劃力、專注力全面升級', '不敗學習力：學霸都在用的10大聰明讀書法', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '塗鴉吧!用視覺模板翻轉人生：6種框架x4個步驟，學習、工作、時間管理全搞定', '原子習慣：細微改變帶來巨大成就的實證法則', '超高效學習：超級學霸╳跨界學習權威的35個PRO考試秘技', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '別做熱愛的事，要做真實的自己：一本重新思考人生與工作的改變之書', '隱市致富地圖：60億操盤手用一張圖，找到上漲超過30%的翻轉人生贏勢股', '超級思維：跨界、跨域、跨能，突破思考盲點，提升解決能力的心智模式大全']"
商業理財,台灣商業策略大全 布局台灣向世界突圍的14個致勝關鍵,https://www.books.com.tw/img/001/092/45/0010924569.jpg,陳宗賢,墨刻,2022/05/26,優惠價：79折 356元,"這是一本從台灣經濟史
淬鍊出的商業經營管理心法
教你看穿局勢、創造優勢
擘劃企業戰略地圖
帶你布局台灣向世界突圍
台灣企業界、經營者、管理者都在看《台灣商業策略大全》
台灣企業界給予「亞...more",https://www.books.com.tw/products/0010924569?loc=P_0005_006,"['讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '年度計畫一學就會：亞洲經營管理大師40年實證精華', '商業模式大全：早稻田商學院教授，圖解63個世界級企業保證獲利模式', '生態系競爭策略：重新定義價值結構，在轉型中辨識正確的賽局，掌握策略工具，贏得先機', '知識複利：將內容變現，打造專家型個人品牌的策略', '德國 好立善 維生素C1000+Q10+生物素5000發泡錠(20錠)蘋果口味', '全方位理財的第一堂課：你一生必學的五大財務規畫', '菁英管理一點通：從專才邁向全方位人才', '底層邏輯：看清這個世界的底牌', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '創業這條路：從一人公司到一個企業組織，要成功創業必須知道的「方法」與「心法」!(修訂版)', '擘畫企業大未來：策略地圖擬定要訣', '長線思維：杜克商學院教授教你，如何在短視的世界成為長遠思考者', '變化中的世界秩序：橋水基金應對國家興衰的原則', '吳敏求傳 ﹕從零到卓越的識與謀', '21堂主管必修的帶人學', '2030科技趨勢全解讀：元宇宙、AI、區塊鏈、雲端、大數據、5G、物聯網，七大最新科技一本就搞懂!', 'OGSM變革領導：打造企業創新力，建立靈活、隨時擴充的全公司溝通系統工具', 'B2B業務關鍵客戶經營地圖：一張A4紙，五大關鍵思考，客戶從此不亂殺價不砍單，搶著跟你做生意。', '好懂秒懂的商業獲利思維課：30堂翻轉財務思考框架，開店、創業、經營、工作績效有感提升']"
商業理財,學會K線賺3億（增訂版）：打敗大盤、戰勝投資心理的月風流技術分析,https://www.books.com.tw/img/001/092/53/0010925363.jpg,月風（李杰）,FUN學,2022/05/20,優惠價：79折 300元,"技術永遠沒有最強，只有更強；
交易永遠沒有最好，只有更好。
到底要使用基本分析，還是技術分析？
基本分析的優點是，在了解公司真正的經營狀況後，只要選對公司（如波克夏、微軟、星...more",https://www.books.com.tw/products/0010925363?loc=P_0005_007,"['股市新手 贏的秘密：進入市場前應該知道的真相', '台灣股神教你看懂贏家選股必賺的財報祕技', '我在房市賺一億2：預售屋實戰操作秘笈', '我在房市賺一億：房產達人首度公開8年經手400間物件的致富祕訣', '給存股新手的財富翻滾筆記【隨書附贈：存股新手SOP小冊】：最適合小資族的「金融股543規律」，用薪水4萬輕鬆打造年收股息20萬!', '會長領航K線戰法 120張圖抓住 關鍵買賣點：來自3萬小時的「紀律交易」，精采呈現股市輕鬆賺錢法!', '隱市致富地圖：60億操盤手用一張圖，找到上漲超過30%的翻轉人生贏勢股', '原子習慣：細微改變帶來巨大成就的實證法則', '最強炒股者：戰勝大盤的13招交易法', '變化中的世界秩序：橋水基金應對國家興衰的原則', '全方位理財的第一堂課：你一生必學的五大財務規畫', '股息Cover我每一天：600張存股達人絕活全公開', '拍毒聖經：破解五大族群健康困擾的拍打排毒', '底層邏輯：看清這個世界的底牌', '最強股市技術分析實戰：2020~2021短短2年，賺進10倍以上的實例分析', '逆轉人生的英語課：Netflix、Disney+翻譯官的英語學習術，讓你的英文跳躍式大進步', '[MUJI無印良品]懷舊棉花糖/1個(S)', '頂尖操盤手的養成計畫1：建立你的獲利模型', '有錢人想的和你不一樣', '台股超完美風暴後的大榮景：台股的前世、今生與未來']"
商業理財,知識複利：將內容變現，打造專家型個人品牌的策略,https://www.books.com.tw/img/001/092/47/0010924781.jpg,"何則文,高永祺",遠流,2022/05/26,優惠價：79折 316元,"2位作者擁有超過7本暢銷書、500項知識產品
13位重量級菁英領袖現身說法，點評各章節
25幅視覺化資訊圖像，一眼就懂
內容醞釀3年，不斷優化

■  ■  ■

你習以為常的能力
其實是他人需要的產品...more",https://www.books.com.tw/products/0010924781?loc=P_0005_008,"['卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '底層邏輯：看清這個世界的底牌', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '全方位理財的第一堂課：你一生必學的五大財務規畫', '高手詞彙必修課：70個贏得話語權，打造文字亮點的強力詞彙使用法', '表達力決定你是誰：提升表達力，成為自己期待的樣子', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證', '變化中的世界秩序：橋水基金應對國家興衰的原則', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '有情人間：不遺忘的溫柔書寫', '原子習慣：細微改變帶來巨大成就的實證法則', '逆轉人生的英語課：Netflix、Disney+翻譯官的英語學習術，讓你的英文跳躍式大進步', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南', '2040世界未來報告書：太空淘金、人機共生、移動革命、能源戰爭、ESG策略，疫後時代如何抓住正在崛起的工作與商機?', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '個人品牌：斜槓時代成就非凡的7個自品牌經營守則', '財富自由的整理鍊金術：斷捨離變身金錢魔法，打造心靈×空間×時間×財務自由人生!', '療癒的飲食與斷食：新時代的個人營養學']"
商業理財,NFT實戰勝經：劉呈顥教你用NFT創造財富的10種方法,https://www.books.com.tw/img/001/092/41/0010924155.jpg,劉呈顥,野人,2022/05/18,優惠價：79折 411元,"──【最全方位的NFT策略指南】──
無論你熱愛音樂、漫畫、遊戲、時尚，
或藝術、投資、創業.....
都能用NFT，推廣個人品牌★拓展社群★實現獲利★
成就自己的價值！
 
★收錄臺灣NFT發行案例...more",https://www.books.com.tw/products/0010924155?loc=P_0005_009,"['以太，下一波贏家：第一本以太幣的投資專書(隨書附贈「加速入圈超值包」)', '變化中的世界秩序：橋水基金應對國家興衰的原則', '阿羅哈!Aloha：我在修藍博士身邊學到的清理話語', 'NFT大未來：理解非同質化貨幣的第一本書!概念、應用、交易與製作的全方位指南', 'NFT投資聖經：全面即懂的終極實戰攻略，從交易、發行到獲利，掌握市值破千億的元宇宙經濟商機', '【E.dot】瞬間吸水速乾親膚毛巾藍色', '虛擬貨幣經濟學：從遊戲寶物、紅利點數、比特幣到支付Pay，數十億人都能從中獲利的淘金大未來[三版]', '原子習慣：細微改變帶來巨大成就的實證法則', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', 'NFT狂潮：進入元宇宙最關鍵的入口，擁抱千億商機的數位經濟革命', '一個操盤手的虧損自白：長銷30年的獲利經典', '比特幣投資金律：加密貨幣實戰教學與進階獲利法', 'NFT造富之鑰：數位經濟奇蹟新紀元', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長 (電子書)', '登入元宇宙：解放自己，擴增夢想的次元', '全方位理財的第一堂課：你一生必學的五大財務規畫', '底層邏輯：看清這個世界的底牌', 'DeFi未來銀行：可公開驗證、紀錄不可竄改，輕鬆實現跨境交易、人人都將參與的新金融革命', '妳的價值不在別人的眼光裡', 'Instagram社群電商實戰力：這樣做超加分!頂尖銷售員私藏的 48 個致勝心法']"
商業理財,最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵,https://www.books.com.tw/img/001/092/24/0010922499.jpg,畢德歐夫,先覺,2022/05/01,優惠價：79折 277元,"無數富人從房市或股市中誕生，
既然如此，我們為什麼不學投資？
 
「金錢」「資產」「債務」「房產」「股市」
掌握這5大關鍵，平凡人也能創造出不凡的財富！
 
●如何用現有的100萬，擴增為更多...more",https://www.books.com.tw/products/0010922499?loc=P_0005_010,"['隱市致富地圖：60億操盤手用一張圖，找到上漲超過30%的翻轉人生贏勢股', '底層邏輯：看清這個世界的底牌', '變化中的世界秩序：橋水基金應對國家興衰的原則', '全方位理財的第一堂課：你一生必學的五大財務規畫', '一個操盤手的虧損自白：長銷30年的獲利經典', '原子習慣：細微改變帶來巨大成就的實證法則', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '給存股新手的財富翻滾筆記【隨書附贈：存股新手SOP小冊】：最適合小資族的「金融股543規律」，用薪水4萬輕鬆打造年收股息20萬!', '[MUJI無印良品]自由換芯按壓筆管/半透明', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '45歲退休，你準備好了? (十周年全新增訂版)', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '股息Cover我每一天：600張存股達人絕活全公開', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長', '窮查理的普通常識(增修版)：巴菲特50年智慧合夥人查理.蒙格的人生哲學', '台股超完美風暴後的大榮景：台股的前世、今生與未來', '致富心態：關於財富、貪婪與幸福的20堂理財課', '自組ETF，讓我股利翻倍的存股法：忙碌理科工程師打造屬於自己的ETF，月領4萬被動收入']"
商業理財,複利領導：簡單的事重複做，就會有力量【首刷限量附贈鮮乳坊100元官網折價券】,https://www.books.com.tw/img/001/092/48/0010924821.jpg,賴婷婷,時報出版,2022/05/31,優惠價：79折 277元,"【首刷限量附贈鮮乳坊100元官網折價券】
使用方法：不限金額立即折抵100元
使用期間：即日起至2022/12/31止
 
主管必修的27堂課──
一個人發光，也要讓團隊一起閃耀！
 
不只要領導A咖，也要能...more",https://www.books.com.tw/products/0010924821?loc=P_0005_011,"['底層邏輯：看清這個世界的底牌', '全方位理財的第一堂課：你一生必學的五大財務規畫', '原子習慣：細微改變帶來巨大成就的實證法則', '精準提問：找到問題解方，培養創意思維、發揮專業影響力的16個提問心法', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '知識複利：將內容變現，打造專家型個人品牌的策略', '45歲退休，你準備好了? (十周年全新增訂版)', '簡少年現代生活算命書：讓神祕玄學輕鬆應用在日常生活之中', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '轉念的力量：不被念頭綁架，選擇你的人生，讓心靈自由', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', 'Deep Work深度工作力：淺薄時代，個人成功的關鍵能力【暢銷新裝版】', '一流的人如何駕馭自我：管理熱情、引導熱情，激發出我們最好的一面', '頂尖操盤手的養成計畫1：建立你的獲利模型', 'My Melody【水果系列】草莓鐵盒拼圖36片', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '以太，下一波贏家：第一本以太幣的投資專書(隨書附贈「加速入圈超值包」)', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '致富心態：關於財富、貪婪與幸福的20堂理財課', '最高閒聊法：再尷尬也能聊出花來，一生受用的人際溝通術']"
商業理財,零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長,https://www.books.com.tw/img/001/092/24/0010922454.jpg,凱蒂‧米爾克曼,天下雜誌,2022/04/28,優惠價：79折 340元,"想要更健康，更有紀律，財富更自由……
每個人心中都有個更好的期待，但總難達成
行為科學新方法，選對的改變策略，比意志力更長效
直擊隱藏的行動弱點，不費力地解決綑綁自己的問題
亞馬遜最佳商管書...more",https://www.books.com.tw/products/0010922454?loc=P_0005_012,['NaN']
商業理財,一個操盤手的虧損自白：長銷30年的獲利經典,https://www.books.com.tw/img/001/092/18/0010921875.jpg,"吉姆．保羅,布南登．莫尼漢",今周刊,2022/04/28,優惠價：79折 277元,"長銷30年，全美專職投資人、投資部落客指定閱讀
美國商業圖書大獎「公理商業圖書獎」商業故事類金獎
《黑天鵝效應》作者塔雷伯盛讚：「投資理財方面，毫不自我吹噓的珍稀之作。」
為什麼...more",https://www.books.com.tw/products/0010921875?loc=P_0005_013,"['變化中的世界秩序：橋水基金應對國家興衰的原則', '隱市致富地圖：60億操盤手用一張圖，找到上漲超過30%的翻轉人生贏勢股', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '投資交易心理戰：內建情緒GPS，揪出投資行為缺陷，讓你持續走在獲利的路上', '好股票，壞股票：進場前的10大思考題，韓國投資大師告訴你', '底層邏輯：看清這個世界的底牌', '台股超完美風暴後的大榮景：台股的前世、今生與未來', '有錢人買的股票和你不一樣：韓國前1%富豪御用操盤人首度揭露富人不說，卻默默都在用的選股祕訣', '交易者思維的 主力之戰 成為股市20%超級贏家', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '自組ETF，讓我股利翻倍的存股法：忙碌理科工程師打造屬於自己的ETF，月領4萬被動收入', '股市蟻神的機智投資生活(散戶實戰技巧)：價值選股、看懂消息、籌碼和盤勢、算買賣價，從入門滾出2億身家的操作技術', '全方位理財的第一堂課：你一生必學的五大財務規畫', '頂尖操盤手的養成計畫1：建立你的獲利模型', '原子習慣：細微改變帶來巨大成就的實證法則', '最強炒股者：戰勝大盤的13招交易法', '韓國最強法人交易員的獲利關鍵', '股市蟻神的機智投資生活(第一次買股票就順手)：我這樣選股，從小白滾出2億身家。給想進場、卻不知怎麼開始的超新手入門。', '以太，下一波贏家：第一本以太幣的投資專書(隨書附贈「加速入圈超值包」)', '投機者的撲克：操盤十八年手記']"
商業理財,取材．執筆．推敲：《被討厭的勇氣》作者直授，最全面的寫作指南,https://www.books.com.tw/img/001/092/24/0010922475.jpg,古賀史健,究竟,2022/05/01,優惠價：79折 403元,"◎費時三年精心打造，令文壇大家讚賞、驚豔，甚至妒忌的一本書，100年後還能留下來的「寫作祕笈」！
◎包括《被討厭的勇氣》在內，編寫＋著作書籍超過93冊、全球累積銷售超過1300萬冊！
◎...more",https://www.books.com.tw/products/0010922475?loc=P_0005_014,"['卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '向編輯學思考：激發自我才能、學習用新角度看世界，精準企畫的10種武器', '心想事成加值驚喜包!【1書+2日記】3分鐘未來日記：寫下的願望真的都實現了!', '長線思維：杜克商學院教授教你，如何在短視的世界成為長遠思考者', '變化中的世界秩序：橋水基金應對國家興衰的原則', '全方位理財的第一堂課：你一生必學的五大財務規畫', '原子習慣：細微改變帶來巨大成就的實證法則', '過目不忘的文轉圖深化記憶法：跟著世界記憶權威用大腦最節能的學習途徑，讓你的輸出有觀點，學習力、企劃力、專注力全面升級', '原生家庭木馬快篩：三步驟解鎖並拋棄繼承家族負向印記', '知識複利：將內容變現，打造專家型個人品牌的策略', '逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證', '全球人才搶著學!密涅瓦的思考習慣訓練', '底層邏輯：看清這個世界的底牌', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '歡迎光臨夢境百貨2：找回不再做夢的人', '長篇小說的技藝：美國大學創意寫作課堂人手一本的40年長銷經典，從下筆、修改，到寫出自己的風格!', '文章寫得又快又好，九宮格寫作術', 'Notion人生管理術：從0開始，打造專屬自己的All in One高效數位系統', '你擁有世界上所有的時間：用集中感知力，活出沒有極限的人生']"
商業理財,台股超完美風暴後的大榮景：台股的前世、今生與未來,https://www.books.com.tw/img/001/091/99/0010919907.jpg,張真卿,財經傳訊,2022/04/14,優惠價：79折 379元,"2023年年底前，台股將崩跌至10年線！
別怕！一年半之內，又將開始10年的多頭。
 
貴上極反賤，賤下極反貴，
每一次的崩盤，都是在創造將來上漲的空間。
眾人貪婪時你要恐懼，眾...more",https://www.books.com.tw/products/0010919907?loc=P_0005_015,"['隱市致富地圖：60億操盤手用一張圖，找到上漲超過30%的翻轉人生贏勢股', '變化中的世界秩序：橋水基金應對國家興衰的原則', '一個操盤手的虧損自白：長銷30年的獲利經典', '藏在股市金句裡的77個投資祕密：張真卿教你看圖秒懂股市實況與投資策略', '疫後經濟大崩盤：通膨海嘯後崩盤的市場與新商機', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '抓住強勢股 打造股市印鈔機', '底層邏輯：看清這個世界的底牌', '股票買賣初學入門【全彩圖解】：股友族MUST BUY 薪水就能致富 (暢銷修訂版)', '有錢人買的股票和你不一樣：韓國前1%富豪御用操盤人首度揭露富人不說，卻默默都在用的選股祕訣', '給存股新手的財富翻滾筆記【隨書附贈：存股新手SOP小冊】：最適合小資族的「金融股543規律」，用薪水4萬輕鬆打造年收股息20萬!', '致富本命：隱形富豪教我的12堂「不缺」財商課，學會靠本業起家，用斜槓投資致富─用6，000元啟動財富正循環，改寫人生!', '韓國最強法人交易員的獲利關鍵', '艾蜜莉會計師教你聰明節稅(2022年最新法規增訂版)：圖解個人所得、房地產、投資理財、遺贈稅', '周賺10%的三明治投資法：掌握主力動向，買股有人替你撐', '廉價日本：消費變便宜，為何不好?什麼都漲的時代?為什麼只有薪水不漲?', '160張圖學會 主升段操作法： 主力剋星教你如何抱緊半年，賺飽5倍價差', '專為辛苦上班族寫的 第一本股東會攻略：零股+紀念品，小小股民如何在上市丶上櫃公司股東會挖出財富的技術', '只選主流股，買在關鍵價：股市10倍奉還!船長的股票關鍵價投資術', '自組ETF，讓我股利翻倍的存股法：忙碌理科工程師打造屬於自己的ETF，月領4萬被動收入']"
