分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
藝術設計,不准畫太好：人氣YouTuber的4大繪圖障礙破解術,https://www.books.com.tw/img/001/092/36/0010923660.jpg,齋藤直葵,楓書坊,2022/05/12,優惠價：79折 277元,"～獻給所有從事繪圖創作人士的「撞牆期」開悟寶典～
圖畫得很爛、作品沒人看、案子不上門、沒有幹勁，
創作者的4大煩惱，就由網紅繪師帶你解決！
從來都沒有畫過圖的我，該怎麼畫出第一張圖呢？
...more",https://www.books.com.tw/products/0010923660?loc=P_0005_001,"['韓國名師的光與顏色繪畫指導課', '職業繪師的立體人物上色密技', '動漫角色電眼繪製技法', '韓國名師的姿勢繪畫指導課', '韓國名師的人物繪畫個別指導課', '吉田誠治作品集&掌握透視技巧', '空間透視繪圖教室', '色彩與光線：每位創作人、設計人、藝術人 都該有的手繪聖經', '電繪姿勢速查事典', '就算要考吉卜力 也不能不會畫鋼彈', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '職業繪師的人物插畫即戰力', '【克潮靈】集水袋除濕盒400ml─檜木香/防蟲配方(單入包裝)', '畫背景!細膩質感技巧書：轟動推特的「佐藤式基準線」，讓你用各種構圖畫出神作!', '是新手也沒關係!教你靠插畫生財的祕訣', '貓與海的彼端', '故事裡的家：吉田誠治美術設定集', '50個人物素描關鍵點', '韓國繪師的動漫角色速繪祕技', '專業動畫師講座 生動描繪人物全方位解析(附DVD)：只花了三年就考進吉卜力工作室的男人!連新海城也大讚本書!']"
藝術設計,韓國名師的光與顏色繪畫指導課,https://www.books.com.tw/img/001/092/49/0010924994.jpg,Rino Park,楓書坊,2022/05/24,優惠價：79折 332元,"～掌握光的法則，玩轉色彩世界～
以光產生的正確顏色為基礎，結合主觀的創意上色，就能呈現出超棒色彩！
我們的周圍環繞著光線與色彩。
陽光和月光以不同的方式照耀同個世界，
隨著...more",https://www.books.com.tw/products/0010924994?loc=P_0005_002,"['不准畫太好：人氣YouTuber的4大繪圖障礙破解術', '職業繪師的立體人物上色密技', '韓國名師的姿勢繪畫指導課', '韓國名師的人物繪畫個別指導課', '動漫角色電眼繪製技法', '速學人體力形技巧 畫出力的表現4', '【克潮靈】集水袋除濕盒400ml─檜木香/防蟲配方(單入包裝)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '韓國繪師的動漫角色速繪祕技', '故事裡的家：吉田誠治美術設定集', '50個人物素描關鍵點', 'Stonehouse的美術解剖學筆記', '電繪姿勢速查事典', '色彩與光線：每位創作人、設計人、藝術人 都該有的手繪聖經', '動漫構圖全攻略：4大類型、37種構圖教學，聚焦主角、創造動態，打造畫面決勝點!', '誘惑系女孩的美肌上色法', '膽大黨 (首刷限定版) 1', '吉田誠治作品集&掌握透視技巧', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '人物表現繪圖教室']"
藝術設計,琴鍵上的貝多芬：聽見貝多芬鋼琴奏鳴曲的各種想像,https://www.books.com.tw/img/001/092/35/0010923523.jpg,呂岱衛,真文化,2022/05/11,優惠價：79折 284元,"♬結合Spotify線上聆聽，邊聽邊閱讀更能感受音樂的精髓♬
♬每一樂章內的情緒轉折處都標記音軌時間點，更清晰聽出樂曲的走向♬
在貝多芬32首鋼琴奏鳴曲中，你聽見的不只是音樂，而是掙扎邁向自由...more",https://www.books.com.tw/products/0010923523?loc=P_0005_003,"['古典音樂之愛：指揮家的私房聆聽指南', '貝多芬傳', '余英時評政治現實(限量珍藏印章版)', '管弦樂團', '博物館與它的產地', '英語高頻字彙完全攻略：選字範圍3500字─6000字 3─6級字彙 (全新編修版)【書+朗讀MP3(掃描QR CODE聆聽)+別冊】', '雪佛【首刷限量作者簽名版】：年度散文獎得主王盛弘散文書寫再創新格局作品', '偽魚販指南', '聽見音樂的靈魂：作曲家帶你聽懂西方古典音樂的演變和故事', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', 'Sundown日落恩賜 游離型超級葉黃素20mg軟膠囊(30粒/瓶)', '善存 醫用口罩(未滅菌)─成人立體型 黑醋栗(25入/盒)', '【克潮靈】集水袋除濕盒400ml─檜木香(單入包裝)', '文茜說世紀典範人物之二：從平凡到不平凡的─梅克爾、羅斯福夫人、杜魯門', '大師的刻意練習：20世紀傳奇鋼琴家訪談錄，教你比天賦更關鍵的學習心法', '善存 醫用口罩(未滅菌)─成人立體型 白玉珍珠(25入/盒)', '內景唐人街', '寫給年輕人的古典音樂小史：連乖戾的貝多芬都萌得不要不要', '心智圖歸納聯想 TOEIC必考3000字：【書+行動學習網站序號卡片】', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)']"
藝術設計,Mr. Children道標之歌：日本國民天團Mr. Children出道30週年首本文字紀實！【特別收錄經典歌詞中文版】,https://www.books.com.tw/img/001/092/32/0010923296.jpg,小貫信昭,聯經出版公司,2022/05/10,優惠價：79折 316元,"日本國民天團Mr.Children出道30週年全紀錄！
最好解讀Mr.Children的精選輯，
回顧出道以來的音樂歷程及經典歌曲！

透過這本書，會更加了解Mr.Children，
或許也會開始喜歡吧！
──櫻井和壽
...more",https://www.books.com.tw/products/0010923296?loc=P_0005_004,"['SWITCH Mr.Children 30週年紀念專集', '正向專注力：180秒實踐高績效人生，奧運金牌運動員、頂尖業務、世界大賽冠軍隊都在用的心智鍛鍊法', 'Mr.Children 道標の歌', '【日本 MIYOSHI 無添加】 無添加肥皂(三入裝)', 'ROCKIN`ON JAPAN 6月號/2022', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '我們與相愛的距離：戰勝情慾，奪回真愛', '原子習慣：細微改變帶來巨大成就的實證法則', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '【The Chala】裸食燕麥脆片─ 椒鹽', '勇者系列紀念設計集DX', '心想事成加值驚喜包!【1書+2日記】3分鐘未來日記：寫下的願望真的都實現了!', '怪獸8號 5', 'ONE PIECE航海王 102 (首刷限定版)', '早知道就讀這本.圖解日本史：繩文、鎌倉、安平到戰國，再到江戶幕府及戰後，上課、追劇後還不明白的日本歷史從這懂!', '村上T 我愛的那些T恤', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '余英時評政治現實(限量珍藏印章版)', '紅日之櫻2', 'SPY×FAMILY 間諜家家酒 9']"
藝術設計,博物館與它的產地,https://www.books.com.tw/img/001/092/21/0010922114.jpg,郭怡汝,親子天下,2022/04/28,優惠價：79折 332元,"你喜歡逛博物館嗎？
你知道兼具知性與高度藝術價值的博物館，
其實暗藏許多有趣、卻沒那麼正向、
但又深遠影響人類文明發展的暗黑歷史嗎？
你所不知道博物館的故事與收藏，就像電影一樣精彩刺激...more",https://www.books.com.tw/products/0010922114?loc=P_0005_005,"['我的同學是一隻熊(博客來獨家.種籽設計書衣版)', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '最有梗的人體教室：針筒兄弟與他們的器官小夥伴', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '瞎掰舊貨攤1：斷尾虎爺', '[MUJI無印良品]PP化妝盒1/2橫型', '博物館偵探骨爾摩斯1+2(獨家套書)', '瞎掰舊貨攤2：子母雞大碗公', '玉使(仙靈傳奇5)', '不敗學習力：學霸都在用的10大聰明讀書法', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '君偉的怪奇報告', '捉迷藏(華語版)[精裝]', '天文100問：最強圖解X超酷實驗 破解一百個不可思議的宇宙祕密', '琴鍵上的貝多芬：聽見貝多芬鋼琴奏鳴曲的各種想像', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '大英博物館給世界的藝術課：細品一生必看的21件文明珍寶，在一個博物館思考整個世界', '小學生高效學習原子習慣 (附贈小學生考試學習自學手冊)：拆解8大策略X23個實作心法，引導孩子學習如何學', '魔法十年屋1+2套書(共兩冊)', '專題式學習，從小就能開始!']"
藝術設計,狂言賽博格（附印刷簽名越前和紙扉頁&野村家名物「蜻蜓肩衣」典藏書卡）,https://www.books.com.tw/img/001/092/57/0010925757.jpg,野村萬齋,這邊出版,2022/06/01,優惠價：79折 356元,"傳承600年歷史的底蘊
日本國寶級藝術家的「狂言」！

他是夢枕貘筆下安倍晴明的化身，花式滑冰選手羽生結弦請益的對象，
他是舞台上的中島敦與伊底帕斯王，影劇中的高杉晉作與哥吉拉，
他是當代最...more",https://www.books.com.tw/products/0010925757?loc=P_0005_006,"['人間地獄 語言為器', '村上T 我愛的那些T恤', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '京都的誕生：平安時代武士創建的戰亂之都', '海幻 (限量作者親簽版)', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)', '過度飲食心理學：當人生只剩下吃是唯一慰藉', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '被擦掉的初戀 5', '男子漢【限量作者親簽版】', '艾笛的永生契約(作者親筆簽名扉頁版+獨家奇幻透卡)', '大賣空：祕密布局，等待時機', '[MUJI 無印良品] 鋁製洗滌用衣架/3支組/約寬42cm', '台語現代小說選', '奈良「地理・地名・地圖」之謎：解讀「平城京」不為人知的歷史!', '了解過去掌握未來套書：《人間地獄 語言為器》+《歷史是一雙靴子》', 'Mr. Children道標之歌：日本國民天團Mr. Children出道30週年首本文字紀實!【特別收錄經典歌詞中文版】', '博物日本：本草學與江戶日本的自然觀', '銀之夜']"
藝術設計,學美之旅：用心看見美，生活即詩境,https://www.books.com.tw/img/001/092/46/0010924627.jpg,于國華,時報出版,2022/05/31,優惠價：79折 458元,"法國雕塑大師羅丹：「這世界並不缺少美，而是缺少發現。」
只要每個人用心去觀看﹑專注感受，日常中的每個角落都能發現美。
2005年，于國華教授應大陸作家胡洪俠邀請，在深圳商報開闢專欄〈台北城記...more",https://www.books.com.tw/products/0010924627?loc=P_0005_007,"['新審美經濟', '激流與倒影(平裝雲門《水月》雙面書衣)', '【西雅圖咖啡】晨間陽光濾泡咖啡(10g*10入)', '【西雅圖咖啡】星光燦爛濾泡咖啡(10g*10入)', '成為池上：地方的可能性']"
藝術設計,滿月珈啡店  櫻田千尋插畫集：「那是心靈疲憊的人才能到達的店」超越季節、徜徉星空，融合甜蜜與溫暖，用視覺擄獲味蕾，享受虛擬中的真實快樂！,https://www.books.com.tw/img/001/092/42/0010924203.jpg,櫻田千尋,瑞昇,2022/05/12,優惠價：79折 379元,"夜深人靜，皎潔的月色下，
有一間店亮著溫暖的光，
圍繞季節、氣象、天體所衍生的輕食，
靜靜安頓你疲憊的心靈。
日落時分開店，日出時分閉店。
貓老闆始終微笑守候，
歡迎光臨----滿月珈啡店。
#用...more",https://www.books.com.tw/products/0010924203?loc=P_0005_008,"['美感365', '不准畫太好：人氣YouTuber的4大繪圖障礙破解術', '兔言兔語：來自世界各地的可愛兔子用語', '葬送的芙莉蓮 6 (首刷限定版)', '南瓜與我的野放生活', '愛上和諧舒壓粉彩畫：插畫家教你11種唯美必學技法!療癒系粉彩手繪大全.從零開始!', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '不能委託他 3', '誰都能成為有錢人的 七堂課：小心!只懂存錢，會越變越窮~本書傳授平凡人迅速地成為有錢人的捷徑!', '【TARIS】特拉佛斯天然整顆櫻桃乾85g/包', '法朋風味全圖鑑：翻書學搭配，看圖懂技巧，112種蛋糕體、夾心、奶餡、香緹…，掌握味道口感與視覺的最佳組合關鍵!', '七色之毒', '原子習慣：細微改變帶來巨大成就的實證法則', '韓國名師的光與顏色繪畫指導課', '故事裡的家：吉田誠治美術設定集', '【EZlife】涼爽透氣蜂巢冷凝膠坐墊(附收納袋)', '【曼寧】菊花決明子枸杞茶包 6gx8入', '芭菲 設計一杯IG網美風水果百匯', 'Balsams白森氏植感系香氛酒精噴霧45ml─ 玫瑰天竺葵', '再來一碗!文豪名人的120種速食炒麵寫作法：日版累計熱賣150，000冊，如果是由「他們」來寫速食炒麵的說明書……']"
藝術設計,當世界只剩下貓（10年創新版）：白貓、黑貓、三花貓、橘貓、玳瑁貓……貓形貓色、貓行貓素，人生嘛，就該像貓，能懶散也能優雅。,https://www.books.com.tw/img/001/092/43/0010924375.jpg,吳毅平,任性出版,2022/05/31,優惠價：79折 363元,"★臉書粉絲追蹤人數高達140,000人
 
★作品曾被美國攝影雙月刊《BLACK&WHITE》（黑與白）收錄為封面照片
 
★高雄鹽埕埔站蜜柑站長「今年是貓年」特別企劃
 
★隨書附贈八款...more",https://www.books.com.tw/products/0010924375?loc=P_0005_009,"['身為職業拍貓人：不論如何，拍貓人生還是少了許多煩惱', 'A4習字計劃。習慣寫字。田字格。墨茶', '台灣貓物語明信片', '佛經手抄本：般若波羅蜜多心經', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '摸布想自己賺罐罐：黑山的烏鴉原創故事集(隨書附贈「Sitting in 7─11」海報)', '讀心溝通術：哈佛大學博士研究20年腦科學；掌握七技巧，立刻看穿各種人', '(3包1套)哈哈防滑環保書套 182', '世界，繼續繞著貓打轉', '超簡單!貓咪健康按握術：每天十分鐘，輕鬆按按保平安', '康寧 VISIONS 多功能防燙夾', '貓咪兩相好明信片', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '養出零壓力貓咪：臺灣首位零恐懼訓練貓咪行為諮商師，教你輕鬆養貓不崩潰!', '【限量作者親簽版】噢!原來你家住這裡：臺灣野生動物的呆萌宅宅日常', '能幹貓今天也憂鬱(03)', '【立得清】酒精擦35抽 3包/袋', '流浪基因Born to Stray', '進擊的公民 Attack on Citizens：探索社會議題的法律指南']"
藝術設計,未來還沒被書寫：搖滾樂及其所創造的（博客來獨家限量親簽）,https://www.books.com.tw/img/001/092/57/0010925738.jpg,張鐵志,印刻,2022/06/02,優惠價：79折 261元,"張鐵志十八年來第三本搖滾書寫
以非虛構的文字探索，重新定義搖滾精神
廖偉棠序
9m88、阿泰與呆呆、拍謝少年、馬欣、黃韻玲、蔡瑞珊、鍾永豐──一起搖滾推薦！
寫給所有不合主流思考的異端...more",https://www.books.com.tw/products/0010925738?loc=P_0005_010,"['留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '武漢(博客來獨家簽名版)', '我有結婚病【限量親簽版】', '候鳥的女兒(作者親筆簽名扉頁版)', '流動日常：藝術蝦的繪畫日記【扉頁親簽版‧博客來獨家】', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '你不能再死一次【博客來獨家親簽版】', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】', '【作者親簽版】頂級食材聖經：跟著摘星主廚Jimmy品嘗金字塔頂端的美味', '綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '海幻 (限量作者親簽版)', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '未來還沒被書寫：搖滾樂及其所創造的', '艾笛的永生契約(作者親筆簽名扉頁版+獨家奇幻透卡)', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '村上T 我愛的那些T恤', '放歌(作者親簽版)', '男子漢【限量作者親簽版】', '聲音與憤怒：搖滾樂可能改變世界嗎?(十週年紀念增訂版)', '海獅說歐洲王室羅曼死【限量親簽香氛扉頁+「王子公主的有事人生」透明貼紙】']"
藝術設計,泥作工法百科：從基礎、機能到裝飾造型，圖解施作步驟╳關鍵監工要點，精準掌控工地現場眉角,https://www.books.com.tw/img/001/092/43/0010924362.jpg,漂亮家居編輯部,麥浩斯,2022/05/21,優惠價：79折 473元,"第一本步驟+圖解概念的泥作工法百科
徹底解析從最基礎的泥工，到進階鋪磚、灌漿、造型泥作，
設計師、工務監工人員、自行發包屋主
想要避免泥作施工、監工過程不出錯，
必備專業工法工具書
...more",https://www.books.com.tw/products/0010924362?loc=P_0005_011,['NaN']
藝術設計,色鉛筆的基本：從選筆、色彩、筆觸到作品，自然風手繪的必修課【限量贈：作品著色明信片組】,https://www.books.com.tw/img/001/092/20/0010922002.jpg,李星瑤,悅知文化,2022/05/09,優惠價：79折 379元,"旅美藝術家．人氣線上課程講師，
耗時一年半精心籌備，首度公開創作心法。
◆初學者也能完成打動人心的專業級作品！◆
◇色鉛筆需要買幾色才夠用？
◇怎麼把色鉛筆削得又尖又美？
◇如何混出...more",https://www.books.com.tw/products/0010922002?loc=P_0005_012,"['iPad電繪畫畫課：從線稿到上色圖層、光影到色調練習、小物到氛圍營造，輕鬆畫出你的夢想世界', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '舒康雞─無骨翅球', '色鉛筆自學BOOK ： 繪畫也有SOP，帶你運用科學方法畫出寫實作品', '【米森】有機漢方紅棗枸杞茶(6g*8包/盒)', '獅子的點心：2020本屋大賞TOP2!小川糸全新小說，感淚必至!', '24小時全為己所用【限量贈：自分時間手帳】：以「心靈滿足」為目標的時間管理法', '色鉛筆花卉著色學習書', '女兒是吸收媽媽情緒長大的：獻給世上所有女兒、母親、女性的自我修復心理學', '世界的色彩配色手帖：取材七大洲，111個實用主題、2787種文化發想的創意提案【完全保存版】', '忘憂森林：英國威爾斯大自然療癒著色畫【附贈12色木紋質感隨身彩色鉛筆組】', '每一天都是色鉛筆塗鴉日：不用描草稿，直接畫輪廓、上疊色、打陰影，畫出可愛的立體圖案(二版)', '大人的畫畫課：線條打稿╳淡彩上色╳主題練習，速寫美好日常', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '大人的畫畫課2：速寫自由自在：技巧再升級!進階線條練習X創意淡彩應用X作品解析', '【日本DUSKIN】立可擦(3入/包)*3組', '捉迷藏(華語版)[精裝]', '最有梗的人體教室：針筒兄弟與他們的器官小夥伴', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】']"
藝術設計,解謎大衛．芬奇【加贈博客來限定獨家書衣】：暗黑系天才導演，與他眼中的心理遊戲,https://www.books.com.tw/img/001/092/47/0010924783.jpg,"亞當．奈曼,Little White Lies",遠流,2022/06/02,優惠價：75折 1350元,"｜了解金獎導演大衛．芬奇的重磅電影聖經｜
 
★當代黑色電影大師，大衛．芬奇首本專書
★《寄生上流》導演奉俊昊親自撰文推薦
★生涯12部電影、影集全面深度剖繪
★近千幀劇照、繪圖、側拍...more",https://www.books.com.tw/products/0010924783?loc=P_0005_013,"['【首刷限量贈品版】暴力鬼才昆汀・塔倫提諾【全彩精裝版】：錄影帶店員逆襲成名導的神話，用血腥與黑色幽默澆注的經典故事', '人物的解剖：跟好萊塢編劇教父學習角色研究的技藝，挖掘人物的四個自我，深究人性的課題，建立 渾然一體的人物角色宇宙', '守護者【博客來獨家限量：雙英雄&羅夏墨跡測驗原畫三張海報組】', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '十字路', '【日本製】鞋用除濕脫臭袋', '好萊塢劇本創作術：地表最強影視工業如何打造全球暢銷故事?', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '你不能再死一次【博客來獨家親簽版】', '西北雨(作者親簽珍藏版)(二版)', '內景唐人街', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '知識複利：將內容變現，打造專家型個人品牌的策略', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', 'UBIK尤比克【這部小說無所不能，《銀翼殺手》菲利普.狄克傳世經典】', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '尼爾：幸田和磨美術集', '村上T 我愛的那些T恤', '菊元百貨：漫步臺北島都', '朴贊郁的蒙太奇：韓國電影大師朴贊郁首部親筆著作(附獨家簽名印刷扉頁)']"
藝術設計,環遊日本摩托車日記【精裝版】：走遍47都道府縣、1741市町村，看見最美麗的日本風景,https://www.books.com.tw/img/001/092/45/0010924566.jpg,仁科勝介,日出出版,2022/05/23,優惠價：79折 988元,"「走訪完所有市町村後，究竟能看到什麼樣的風景呢？
我只是想知道這個，就踏上旅程了。」
▲帶你拜訪你熟悉、與不熟悉的日本
▲最真實、無修飾的日本原鄉風景
▲在這本書中，有1741個日本的故事
日本共...more",https://www.books.com.tw/products/0010924566?loc=P_0005_014,"['《王德傳》2021臨滄春蕊原葉研磨濾掛茶 8入', '《王德傳》金萱烏龍原葉研磨濾掛茶 8入', '葛飾北齋の浮世繪設計力【博客來獨家.書衣海報版】：入門學欣賞，藝術、攝影、設計人學會活用超高段的日式美學神髓', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '【新竹福源】花生芝麻蛋捲', '日系攝影：探究日本美學的表現與本質', '【中衛】醫療口罩1盒入(50片/盒)─ 青蘋綠', '【日本咖啡時光套書】(二冊)：《京都喫茶記事》、《日本純喫茶物語》', '大和日記：西日本(博客來獨家贈 小林の沒禮貌旅行筆記本+西日本【日車‧夜車】紀念車票書籤)']"
藝術設計,陳設美好的生活：觀察生活細節、練習擺放日常，才能安頓更好的環境與展現自我,https://www.books.com.tw/img/001/092/19/0010921956.jpg,林書言 Lsy sophie,三采,2022/04/29,優惠價：79折 569元,"即使生活是瑣碎的總和，
在日常選擇間，我們也可以藉由陳列，找到安頓身心之處！
 
各大品牌視覺氛圍推手──棲仙陳列設計事務所
 
理論×選物×搭配×技巧×案例
脈絡化×...more",https://www.books.com.tw/products/0010921956?loc=P_0005_015,"['蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '歡迎光臨 肯園精油新手村：20種首選精油調出80種對症配方，全方位療身也療心(附贈：新手入村優惠折扣碼)', '腦霧：腦退化自救、預防失智，腦科醫師教你大腦重置，提升專注、記憶、思考三大腦原力(增訂版)', '給所有人的居家風格課：圖解23款常見風格的設計公式，規劃必買選物，入門布置的軟實力指南', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '以太，下一波贏家：第一本以太幣的投資專書(隨書附贈「加速入圈超值包」)', '你好，這裡是記憶花店', 'NSCA運動科學(附彩圖光碟)', '[MUJI 無印良品]棉棒(補充用)/200支', '別做熱愛的事，要做真實的自己：一本重新思考人生與工作的改變之書', '原子習慣：細微改變帶來巨大成就的實證法則', '開啟高敏感孩子天賦：兒童精神科醫師給高敏感兒家長的41個養育、照顧、陪伴提案', '快樂實現自主富有：傳奇創投創業大師拉維肯的投資智慧與人生哲學(附贈限量超值學習特輯與課程折扣)', 'KINFOLK綠藝：打造生活中的每一景綠意盎然(首刷限量贈質感綠藝卡)', '【日本牛乳石鹼】牛乳香皂 3入組(玫瑰滋潤/茉莉清爽)紅盒(玫瑰滋潤)100g', '不敗學習力：學霸都在用的10大聰明讀書法', '[MUJI無印良品]咖啡濾紙', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '【稑珍】泰麵─綠咖哩(150公克x4入/袋) 綠咖哩', '臺灣數據百閱(雙面書封設計)：100個重要議題，從圖表開啟對話、培養公民思辨力']"
藝術設計,只要會拿筆，就能學會畫畫：19種練習、25個技法說明，從零開始，一次為你打好畫畫的基礎,https://www.books.com.tw/img/001/092/47/0010924734.jpg,傑克‧史派瑟,遠流,2022/05/26,優惠價：79折 277元,"★英國亞馬遜藝術類暢銷書
★作者被提名為英國FringeReport年度藝術家
★於英國國家肖像藝廊、倫敦卡姆登藝術中心開設繪畫課程
★全書採SWISSBINDING，可完全攤平，不論閱讀或練習都...more",https://www.books.com.tw/products/0010924734?loc=P_0005_016,"['剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '底層邏輯：看清這個世界的底牌', '知識複利：將內容變現，打造專家型個人品牌的策略', '【翠菓子】航空米果綜合米果禮盒(22包/盒)', '看!德國人這樣訓練邏輯!：鍛鍊IQ金頭腦的400道練習(新版)', '像樹那樣生活：改變韓國十萬讀者，從樹木身上學到35項堅毅的人生智慧', '有趣到不可思議的樹木果實圖鑑：300種果實驚人的機能美和造形美，前所未有的鑑賞級寫真', '你背負了誰的傷：從家庭的原生三角關係，療癒代際傷害', '《紅布朗》蔓越莓乾顆粒(200g/包)', '最好的教養，從接受負面情緒開始：理解孩子的情緒風暴，打造良好親子關係的45堂對話課', '【OMORY】日式床/桌/椅腳套8枚入(加厚款)─深棕色', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '旅繪是生活：速寫一本就上手，單色x水彩x色鉛筆，畫下美好回憶', '高手詞彙必修課：70個贏得話語權，打造文字亮點的強力詞彙使用法', '室內觀葉植物栽培日誌：IG園藝之王的綠植新手指南']"
藝術設計,隈研吾建築圖鑑：專業導覽及手繪千幅圖片，美學、知識、旅遊一本全收錄,https://www.books.com.tw/img/001/092/49/0010924952.jpg,宮澤洋,圓神,2022/06/01,優惠價：79折 324元,"★長踞日本AMAZON建築類暢銷榜第一名！
★建築專業雜誌總編輯實地採訪，徹底解析隈研吾的50件代表作
★全彩色精采圖解，一看就懂，看完就想朝聖
 
旅讀「負建築」大師的美學世界
一...more",https://www.books.com.tw/products/0010924952?loc=P_0005_017,"['臺北老屋三生事', '【翠菓子】航空米果綜合米果禮盒(22包/盒)', '隈研吾：成為夢想的實踐者，勇於超越框架、創造自由想像', '全方位理財的第一堂課：你一生必學的五大財務規畫', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '博士熱愛的算式(首屆本屋大賞TOP 1獲獎傑作・小川洋子最膾炙人口作品)', '喜劇媽媽桑幽默表達學：克服心理關卡，不恐懼不糾結，讓內向者誕生勇氣的魅力指南', '妳可以乖，但不能不懂男人的壞', '著名漫畫的房屋格局：收錄高達71部經典動漫畫房屋格局，絕對值得收藏的一本!', '建築入門：從110個建築關鍵議題，統觀建築形式概念、人文設計與材料工法實務技術', '養出零壓力貓咪：臺灣首位零恐懼訓練貓咪行為諮商師，教你輕鬆養貓不崩潰!', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '海獅說歐洲王室羅曼死【限量親簽香氛扉頁+「王子公主的有事人生」透明貼紙】', '[益生堂] 薄荷宋陳丸(小)', '【荷蘭史翠普】焦糖煎餅250g', '我的一天從4點30分開始：當你酣睡時，有人已醒來實現夢想!', '【Elizabeth Arden 雅頓】綠茶身體乳 500ml']"
